conditionN	condition	v1	v2
1	X$s_Marvinbryantia_sp900066075>0 & X$g_Alistipes_A>0	X[,265]>0 & X[,350]>0	s_Marvinbryantia_sp900066075	g_Alistipes_A
2	X$s_Marvinbryantia_sp900066075>0 & X$f_Bacteroidaceae>0.15	X[,265]>0 & X[,482]>0.15	s_Marvinbryantia_sp900066075	f_Bacteroidaceae
3	X$s_Marvinbryantia_sp900066075>0.0002 & X$g_Dialister>0.00316	X[,265]>0.0002 & X[,403]>0.00316	s_Marvinbryantia_sp900066075	g_Dialister
4	X$s_Marvinbryantia_sp900066075>0.0002 & X$s_Oscillibacter_sp001916835>0.0003	X[,265]>0.0002 & X[,271]>0.0003	s_Marvinbryantia_sp900066075	s_Oscillibacter_sp001916835
5	X$s_Marvinbryantia_sp900066075>0 & X$s_Bacteroides_clarus>0	X[,265]>0 & X[,52]>0	s_Marvinbryantia_sp900066075	s_Bacteroides_clarus
6	X$s_Marvinbryantia_sp900066075>0.0002 & X$s_Faecalibacterium_prausnitzii_G>0.005	X[,265]>0.0002 & X[,220]>0.005	s_Marvinbryantia_sp900066075	s_Faecalibacterium_prausnitzii_G
7	X$s_Marvinbryantia_sp900066075>0 & X$s_Lawsonibacter_sp000177015>0.0003	X[,265]>0 & X[,261]>0.0003	s_Marvinbryantia_sp900066075	s_Lawsonibacter_sp000177015
8	X$s_Marvinbryantia_sp900066075>0.0002 & X$f_Anaerovoracaceae>0.0003	X[,265]>0.0002 & X[,480]>0.0003	s_Marvinbryantia_sp900066075	f_Anaerovoracaceae
9	X$s_Marvinbryantia_sp900066075>0.0002 & X$s_Eubacterium_I_ramulus_A>0.0004	X[,265]>0.0002 & X[,211]>0.0004	s_Marvinbryantia_sp900066075	s_Eubacterium_I_ramulus_A
10	X$s_Marvinbryantia_sp900066075>0.0002 & X$s_CAG_83_sp001916855>0.0004	X[,265]>0.0002 & X[,147]>0.0004	s_Marvinbryantia_sp900066075	s_CAG_83_sp001916855
11	X$s_Marvinbryantia_sp900066075>0.0002 & X$s_Intestinimonas_butyriciproducens>0.0001	X[,265]>0.0002 & X[,250]>0.0001	s_Marvinbryantia_sp900066075	s_Intestinimonas_butyriciproducens
